trial_id,parent_experiment,phase,trial_kind,ofactor_threshold,xfactor_tier_b,xfactor_tier_a,status,result_type,rankability,source_bundle,code_hash,data_hash,config_hash,requested_start,requested_end,actual_start,actual_end,candidate_count,accepted_positions,closed_trades,open_positions,realised_after_tax_pnl,open_net_liquidation_pnl,total_net_liquidation_pnl,h30_score,error_reason
LEGACY49_O30_X30,LEGACY_OX_THRESHOLD_SWEEP_2026_08_07,LEGACY_AGGREGATE_THRESHOLD,AGGREGATE_THRESHOLD_COMBINATION,30,30,38.0,COMPLETED,OPPORTUNITY_SCAN,NOT_RANKABLE,OIIS_49_FACTOR_ANALYSIS_BUNDLE_LITE_2026-08-07 (1).zip,,035a34e0f0ef3acace291b020ca5b7f7074ce50ca088c53b43a22f9837fbe2ab,10ad9f11820d8bb2c9225b7a0627e48f98d7cdb69e7c97c5e675d3614c2cffec,2016-01-01,2026-08-05,2021-03-08,2026-08-05,1516.0,1093.0,1083.0,10.0,472362.9476,-334376.1475,137986.8001,47.0855,
LEGACY49_O20_X50,LEGACY_OX_THRESHOLD_SWEEP_2026_08_07,LEGACY_AGGREGATE_THRESHOLD,AGGREGATE_THRESHOLD_COMBINATION,20,50,58.0,COMPLETED,OPPORTUNITY_SCAN,NOT_RANKABLE,OIIS_49_FACTOR_ANALYSIS_BUNDLE_LITE_2026-08-07 (1).zip,,035a34e0f0ef3acace291b020ca5b7f7074ce50ca088c53b43a22f9837fbe2ab,10ad9f11820d8bb2c9225b7a0627e48f98d7cdb69e7c97c5e675d3614c2cffec,2016-01-01,2026-08-05,2021-03-08,2026-08-05,1516.0,1093.0,1083.0,10.0,472362.9476,-334376.1475,137986.8001,47.0855,
LEGACY49_O30_X20,LEGACY_OX_THRESHOLD_SWEEP_2026_08_07,LEGACY_AGGREGATE_THRESHOLD,AGGREGATE_THRESHOLD_COMBINATION,30,20,28.0,COMPLETED,OPPORTUNITY_SCAN,NOT_RANKABLE,OIIS_49_FACTOR_ANALYSIS_BUNDLE_LITE_2026-08-07 (1).zip,,035a34e0f0ef3acace291b020ca5b7f7074ce50ca088c53b43a22f9837fbe2ab,10ad9f11820d8bb2c9225b7a0627e48f98d7cdb69e7c97c5e675d3614c2cffec,2016-01-01,2026-08-05,2021-03-08,2026-08-05,1516.0,1093.0,1083.0,10.0,472362.9476,-334376.1475,137986.8001,47.0855,
LEGACY49_O30_X40,LEGACY_OX_THRESHOLD_SWEEP_2026_08_07,LEGACY_AGGREGATE_THRESHOLD,AGGREGATE_THRESHOLD_COMBINATION,30,40,48.0,COMPLETED,OPPORTUNITY_SCAN,NOT_RANKABLE,OIIS_49_FACTOR_ANALYSIS_BUNDLE_LITE_2026-08-07 (1).zip,,035a34e0f0ef3acace291b020ca5b7f7074ce50ca088c53b43a22f9837fbe2ab,10ad9f11820d8bb2c9225b7a0627e48f98d7cdb69e7c97c5e675d3614c2cffec,2016-01-01,2026-08-05,2021-03-08,2026-08-05,1516.0,1093.0,1083.0,10.0,472362.9476,-334376.1475,137986.8001,47.0855,
LEGACY49_O30_X50,LEGACY_OX_THRESHOLD_SWEEP_2026_08_07,LEGACY_AGGREGATE_THRESHOLD,AGGREGATE_THRESHOLD_COMBINATION,30,50,58.0,COMPLETED,OPPORTUNITY_SCAN,NOT_RANKABLE,OIIS_49_FACTOR_ANALYSIS_BUNDLE_LITE_2026-08-07 (1).zip,,035a34e0f0ef3acace291b020ca5b7f7074ce50ca088c53b43a22f9837fbe2ab,10ad9f11820d8bb2c9225b7a0627e48f98d7cdb69e7c97c5e675d3614c2cffec,2016-01-01,2026-08-05,2021-03-08,2026-08-05,1516.0,1093.0,1083.0,10.0,472362.9476,-334376.1475,137986.8001,47.0855,
LEGACY49_O20_X20,LEGACY_OX_THRESHOLD_SWEEP_2026_08_07,LEGACY_AGGREGATE_THRESHOLD,AGGREGATE_THRESHOLD_COMBINATION,20,20,28.0,COMPLETED,OPPORTUNITY_SCAN,NOT_RANKABLE,OIIS_49_FACTOR_ANALYSIS_BUNDLE_LITE_2026-08-07 (1).zip,,035a34e0f0ef3acace291b020ca5b7f7074ce50ca088c53b43a22f9837fbe2ab,10ad9f11820d8bb2c9225b7a0627e48f98d7cdb69e7c97c5e675d3614c2cffec,2016-01-01,2026-08-05,2021-03-08,2026-08-05,1516.0,1093.0,1083.0,10.0,472362.9476,-334376.1475,137986.8001,47.0855,
LEGACY49_O20_X40,LEGACY_OX_THRESHOLD_SWEEP_2026_08_07,LEGACY_AGGREGATE_THRESHOLD,AGGREGATE_THRESHOLD_COMBINATION,20,40,48.0,COMPLETED,OPPORTUNITY_SCAN,NOT_RANKABLE,OIIS_49_FACTOR_ANALYSIS_BUNDLE_LITE_2026-08-07 (1).zip,,035a34e0f0ef3acace291b020ca5b7f7074ce50ca088c53b43a22f9837fbe2ab,10ad9f11820d8bb2c9225b7a0627e48f98d7cdb69e7c97c5e675d3614c2cffec,2016-01-01,2026-08-05,2021-03-08,2026-08-05,1516.0,1093.0,1083.0,10.0,472362.9476,-334376.1475,137986.8001,47.0855,
LEGACY49_O20_X30,LEGACY_OX_THRESHOLD_SWEEP_2026_08_07,LEGACY_AGGREGATE_THRESHOLD,AGGREGATE_THRESHOLD_COMBINATION,20,30,38.0,COMPLETED,OPPORTUNITY_SCAN,NOT_RANKABLE,OIIS_49_FACTOR_ANALYSIS_BUNDLE_LITE_2026-08-07 (1).zip,,035a34e0f0ef3acace291b020ca5b7f7074ce50ca088c53b43a22f9837fbe2ab,10ad9f11820d8bb2c9225b7a0627e48f98d7cdb69e7c97c5e675d3614c2cffec,2016-01-01,2026-08-05,2021-03-08,2026-08-05,1516.0,1093.0,1083.0,10.0,472362.9476,-334376.1475,137986.8001,47.0855,
LEGACY49_O40_X50,LEGACY_OX_THRESHOLD_SWEEP_2026_08_07,LEGACY_AGGREGATE_THRESHOLD,AGGREGATE_THRESHOLD_COMBINATION,40,50,58.0,COMPLETED,OPPORTUNITY_SCAN,NOT_RANKABLE,OIIS_49_FACTOR_ANALYSIS_BUNDLE_LITE_2026-08-07 (1).zip,,035a34e0f0ef3acace291b020ca5b7f7074ce50ca088c53b43a22f9837fbe2ab,10ad9f11820d8bb2c9225b7a0627e48f98d7cdb69e7c97c5e675d3614c2cffec,2016-01-01,2026-08-05,2021-03-08,2026-08-05,1516.0,1093.0,1083.0,10.0,472362.9476,-334376.1475,137986.8001,47.0855,
LEGACY49_O40_X30,LEGACY_OX_THRESHOLD_SWEEP_2026_08_07,LEGACY_AGGREGATE_THRESHOLD,AGGREGATE_THRESHOLD_COMBINATION,40,30,38.0,COMPLETED,OPPORTUNITY_SCAN,NOT_RANKABLE,OIIS_49_FACTOR_ANALYSIS_BUNDLE_LITE_2026-08-07 (1).zip,,035a34e0f0ef3acace291b020ca5b7f7074ce50ca088c53b43a22f9837fbe2ab,10ad9f11820d8bb2c9225b7a0627e48f98d7cdb69e7c97c5e675d3614c2cffec,2016-01-01,2026-08-05,2021-03-08,2026-08-05,1516.0,1093.0,1083.0,10.0,472362.9476,-334376.1475,137986.8001,47.0855,
