strategy_id,data_tier,required_source,entry_detector_status,dependency_state
CTL01,D1,qualified stock OHLCV,REFERENCE_MANIFEST_AVAILABLE,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CTL02,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CTL03,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CTL04,D1,qualified stock OHLCV,REFERENCE_MANIFEST_AVAILABLE,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CTL05,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CTL06,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
MR01,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
MR02,D1,qualified stock OHLCV,REFERENCE_MANIFEST_AVAILABLE,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
MR03,D1,qualified stock OHLCV,REFERENCE_MANIFEST_AVAILABLE,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
MR04,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
MR05,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
MR06,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
MR07,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
MR08,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
MR09,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
MR10,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
MR11,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
MR12,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
MR13,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
MR14,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
TR01,D1,qualified stock OHLCV,REFERENCE_MANIFEST_AVAILABLE,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
TR02,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
TR03,D2,stock plus aligned NIFTY sector and India VIX OHLCV,REFERENCE_MANIFEST_AVAILABLE,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
TR04,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
TR05,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
TR06,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
TR07,D2,stock plus aligned NIFTY sector and India VIX OHLCV,REFERENCE_MANIFEST_AVAILABLE,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
TR08,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
TR09,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
TR10,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
TR11,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
TR12,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
TR13,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
TR14,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
BO01,D1,qualified stock OHLCV,REFERENCE_MANIFEST_AVAILABLE,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
BO02,D3,synchronized point-in-time cross-sectional panel and breadth,DETECTOR_REQUIRED,REQUIRES_POINT_IN_TIME_CROSS_SECTIONAL_PANEL
BO03,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
BO04,D3,synchronized point-in-time cross-sectional panel and breadth,DETECTOR_REQUIRED,REQUIRES_POINT_IN_TIME_CROSS_SECTIONAL_PANEL
BO05,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
BO06,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
BO07,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
BO08,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
BO09,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
BO10,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
BO11,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
