slice_type,slice_key,sample_size,suitability,metrics_json
NIFTY_TREND,SIDEWAYS,45,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.7412, ""after_tax_net_pnl"": 66526.26, ""median_return_pct"": 0.6614}"
NIFTY_TREND,TRANSITION,17,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.8817, ""after_tax_net_pnl"": 29661.85, ""median_return_pct"": 0.6613}"
NIFTY_TREND,DOWNWARD,4,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 1.3047, ""after_tax_net_pnl"": 10433.04, ""median_return_pct"": 1.0206}"
NIFTY_TREND,UPWARD,4,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.6613, ""after_tax_net_pnl"": 5289.92, ""median_return_pct"": 0.6614}"
STOCK_NIFTY_MATRIX,DOWNWARD / SIDEWAYS,39,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.7521, ""after_tax_net_pnl"": 58538.24, ""median_return_pct"": 0.6614}"
STOCK_NIFTY_MATRIX,DOWNWARD / TRANSITION,14,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.929, ""after_tax_net_pnl"": 25732.44, ""median_return_pct"": 0.6613}"
STOCK_NIFTY_MATRIX,DOWNWARD / DOWNWARD,4,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 1.3047, ""after_tax_net_pnl"": 10433.04, ""median_return_pct"": 1.0206}"
STOCK_NIFTY_MATRIX,DOWNWARD / UPWARD,4,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.6613, ""after_tax_net_pnl"": 5289.92, ""median_return_pct"": 0.6614}"
STOCK_NIFTY_MATRIX,SIDEWAYS / SIDEWAYS,4,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.6613, ""after_tax_net_pnl"": 5233.99, ""median_return_pct"": 0.6613}"
STOCK_NIFTY_MATRIX,TRANSITION / TRANSITION,2,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.6613, ""after_tax_net_pnl"": 2607.71, ""median_return_pct"": 0.6613}"
STOCK_NIFTY_MATRIX,TRANSITION / SIDEWAYS,1,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.6614, ""after_tax_net_pnl"": 1323.84, ""median_return_pct"": 0.6614}"
STOCK_NIFTY_MATRIX,SIDEWAYS / TRANSITION,1,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.6612, ""after_tax_net_pnl"": 1321.7, ""median_return_pct"": 0.6612}"
STOCK_NIFTY_MATRIX,UPWARD / SIDEWAYS,1,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.7148, ""after_tax_net_pnl"": 1430.18, ""median_return_pct"": 0.7148}"
STOCK_TREND,DOWNWARD,61,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.823, ""after_tax_net_pnl"": 99993.64, ""median_return_pct"": 0.6614}"
STOCK_TREND,SIDEWAYS,5,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.6613, ""after_tax_net_pnl"": 6555.69, ""median_return_pct"": 0.6612}"
STOCK_TREND,TRANSITION,3,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.6613, ""after_tax_net_pnl"": 3931.55, ""median_return_pct"": 0.6614}"
STOCK_TREND,UPWARD,1,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.7148, ""after_tax_net_pnl"": 1430.18, ""median_return_pct"": 0.7148}"
VIX_REGIME,LOW,51,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.7734, ""after_tax_net_pnl"": 78635.87, ""median_return_pct"": 0.6614}"
VIX_REGIME,NORMAL,16,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 0.7628, ""after_tax_net_pnl"": 24165.93, ""median_return_pct"": 0.6613}"
VIX_REGIME,HIGH,3,UNKNOWN,"{""win_rate_pct"": 100.0, ""avg_return_pct"": 1.5192, ""after_tax_net_pnl"": 9109.27, ""median_return_pct"": 1.3798}"
