symbol,security_name,sector,signal_count,accepted_trades,skipped_trades,win_rate_pct,avg_return_pct,median_return_pct,max_gain_pct,max_loss_pct,avg_hold_days,max_hold_days,realized_pnl,unrealized_pnl,charges,open_position_flag
VEDL,VEDANTA LIMITED,Metals & Mining,14,9,5,100,0.6613,0.6614,0.6614,0.6612,3.89,12,18323.6488,0,4161.27,False
LODHA,LODHA DEVELOPERS LIMITED,Realty,12,4,8,100,1.125,0.6612,2.5163,0.6611,10,13,13816.5363,0,1852.2,False
IRFC,INDIAN RAILWAY FIN CORP L,Financial Services,7,5,2,100,0.8051,0.6614,1.3798,0.6614,5,18,12398.1674,0,2315.03,False
HDFCBANK,HDFC BANK LTD,Financial Services,4,1,3,100,3.5988,3.5988,3.5988,3.5988,21,21,11083.53,0,472.72,False
MARUTI,MARUTI SUZUKI INDIA LTD.,Automobile and Auto Components,5,2,3,100,1.4731,1.4731,2.2852,0.6611,6,9,8715.7,0,904.3,False
RELIANCE,RELIANCE INDUSTRIES LTD,Oil Gas & Consumable Fuels,1,1,0,100,2.7848,2.7848,2.7848,2.7848,13,13,8528.43,0,467.37,False
NTPC,NTPC LTD,Power,5,3,2,100,0.7523,0.6614,0.9341,0.6614,4,7,6951.2778,0,1388.19,False
JINDALSTEL,JINDAL STEEL LIMITED,Metals & Mining,5,3,2,100,0.6613,0.6613,0.6614,0.6611,2.67,6,6102.165,0,1386.96,False
DLF,DLF LIMITED,Realty,3,3,0,100,0.6613,0.6614,0.6614,0.6612,4,8,6097.0162,0,1384.85,False
HCLTECH,HCL TECHNOLOGIES LTD,Information Technology,6,3,3,100,0.6612,0.6612,0.6613,0.6612,21,34,6082.6325,0,1382.58,False
INDIGO,INTERGLOBE AVIATION LTD,Services,4,3,1,100,0.6612,0.6612,0.6613,0.6611,1,1,6002.3692,0,1364.81,False
INFY,INFOSYS LIMITED,Information Technology,2,2,0,100,0.7726,0.7726,0.8838,0.6613,2.5,3,4744.095,0,923.48,False
ONGC,OIL AND NATURAL GAS CORP.,Oil Gas & Consumable Fuels,7,2,5,100,0.7149,0.7149,0.7685,0.6614,3.5,6,4402.427,0,925.76,False
TATASTEEL,TATA STEEL LIMITED,Metals & Mining,5,2,3,100,0.6614,0.6614,0.6614,0.6614,6.5,11,4074.0713,0,924.77,False
LICI,LIFE INSURA CORP OF INDIA,Financial Services,4,2,2,100,0.6613,0.6613,0.6614,0.6613,4,7,4067.3886,0,923.62,False
TECHM,TECH MAHINDRA LIMITED,Information Technology,4,2,2,100,0.6613,0.6613,0.6614,0.6612,7.5,14,4065.425,0,923.58,False
NAUKRI,INFO EDGE (I) LTD,Consumer Services,3,2,1,100,0.6613,0.6613,0.6614,0.6612,1,1,4063.79,0,923.56,False
ENRIN,SIEMENS ENERGY INDIA LTD,Capital Goods,5,2,3,100,0.6613,0.6613,0.6614,0.6613,20.5,40,4032.9425,0,915.87,False
TMPV,TATA MOTORS PASS VEH LTD,Automobile and Auto Components,2,1,1,100,0.7148,0.7148,0.7148,0.7148,31,31,2200.28,0,462.37,False
VBL,VARUN BEVERAGES LIMITED,Fast Moving Consumer Goods,2,1,1,100,0.6614,0.6614,0.6614,0.6614,1,1,2037.5381,0,462.4,False
JIOFIN,JIO FIN SERVICES LTD,Financial Services,3,1,2,100,0.6614,0.6614,0.6614,0.6614,1,1,2037.3114,0,462.4,False
BPCL,BHARAT PETROLEUM CORP  LT,Oil Gas & Consumable Fuels,6,1,5,100,0.6614,0.6614,0.6614,0.6614,23,23,2037.085,0,462.39,False
BAJAJHFL,BAJAJ HOUSING FINANCE LTD,Financial Services,2,1,1,100,0.6614,0.6614,0.6614,0.6614,1,1,2037.0292,0,462.39,False
CGPOWER,CG POWER AND IND SOL LTD,Capital Goods,1,1,0,100,0.6614,0.6614,0.6614,0.6614,7,7,2036.6825,0,462.37,False
PFC,POWER FIN CORP LTD.,Financial Services,3,1,2,100,0.6614,0.6614,0.6614,0.6614,19,19,2036.4892,0,462.37,False
KOTAKBANK,KOTAK MAHINDRA BANK LTD,Financial Services,10,2,8,100,0.6614,0.6614,0.6614,0.6614,21,21,2036.09,-2068.94,462.36,True
JSWENERGY,JSW ENERGY LIMITED,Power,1,1,0,100,0.6611,0.6611,0.6611,0.6611,1,1,2031.9484,0,462.29,False
HYUNDAI,HYUNDAI MOTOR INDIA LTD,Automobile and Auto Components,1,1,0,100,0.6612,0.6612,0.6612,0.6612,1,1,2027.625,0,461.2,False
CIPLA,CIPLA LTD,Healthcare,2,1,1,100,0.6614,0.6614,0.6614,0.6614,112,112,2026.9425,0,460.17,False
HAVELLS,HAVELLS INDIA LIMITED,Consumer Durables,3,1,2,100,0.6614,0.6614,0.6614,0.6614,1,1,2026.93,0,460.17,False
BRITANNIA,BRITANNIA INDUSTRIES LTD,Fast Moving Consumer Goods,1,1,0,100,0.6612,0.6612,0.6612,0.6612,6,6,2023.7025,0,460.11,False
MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,Capital Goods,1,1,0,100,0.6611,0.6611,0.6611,0.6611,1,1,2021.8108,0,460.07,False
TCS,TATA CONSULTANCY SERV LT,Information Technology,6,2,4,100,0.6612,0.6612,0.6612,0.6612,1,1,2019.35,-23377.35,459,True
TRENT,TRENT LTD,Consumer Services,3,1,2,100,0.6612,0.6612,0.6612,0.6612,1,1,2013.975,0,457.89,False
DMART,AVENUE SUPERMARTS LIMITED,Consumer Services,1,1,0,100,0.6612,0.6612,0.6612,0.6612,1,1,1999.1775,0,454.56,False
DIVISLAB,DIVI S LABORATORIES LTD,Healthcare,1,1,0,100,0.6612,0.6612,0.6612,0.6612,1,1,1989.0822,0,452.36,False
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,Healthcare,1,1,0,100,0.6612,0.6612,0.6612,0.6612,33,33,1980.2075,0,450.13,False
HDFCLIFE,HDFC LIFE INS CO LTD,Financial Services,3,1,2,0,0,0,0,0,0,0,0,-33481.38,0,True
HINDALCO,HINDALCO  INDUSTRIES  LTD,Metals & Mining,0,0,0,0,0,0,0,0,0,0,0,0,0,False
HINDUNILVR,HINDUSTAN UNILEVER LTD.,Fast Moving Consumer Goods,1,0,1,0,0,0,0,0,0,0,0,0,0,False
HINDZINC,HINDUSTAN ZINC LIMITED,Metals & Mining,1,0,1,0,0,0,0,0,0,0,0,0,0,False
ABB,ABB INDIA LIMITED,Capital Goods,1,0,1,0,0,0,0,0,0,0,0,0,0,False
ICICIBANK,ICICI BANK LTD.,Financial Services,0,0,0,0,0,0,0,0,0,0,0,0,0,False
ICICIGI,ICICI LOMBARD GIC LIMITED,Financial Services,2,0,2,0,0,0,0,0,0,0,0,0,0,False
INDHOTEL,THE INDIAN HOTELS CO. LTD,Consumer Services,1,0,1,0,0,0,0,0,0,0,0,0,0,False
CHOLAFIN,CHOLAMANDALAM IN & FIN CO,Financial Services,1,0,1,0,0,0,0,0,0,0,0,0,0,False
CANBK,CANARA BANK,Financial Services,0,0,0,0,0,0,0,0,0,0,0,0,0,False
IOC,INDIAN OIL CORP LTD,Oil Gas & Consumable Fuels,6,0,6,0,0,0,0,0,0,0,0,0,0,False
ITC,ITC LTD,Fast Moving Consumer Goods,5,1,4,0,0,0,0,0,0,0,0,-30894.87,0,True
BOSCHLTD,BOSCH LIMITED,Automobile and Auto Components,2,0,2,0,0,0,0,0,0,0,0,0,0,False
BHARTIARTL,BHARTI AIRTEL LIMITED,Telecommunication,1,0,1,0,0,0,0,0,0,0,0,0,0,False
BEL,BHARAT ELECTRONICS LTD,Capital Goods,0,0,0,0,0,0,0,0,0,0,0,0,0,False
JSWSTEEL,JSW STEEL LIMITED,Metals & Mining,0,0,0,0,0,0,0,0,0,0,0,0,0,False
BANKBARODA,BANK OF BARODA,Financial Services,0,0,0,0,0,0,0,0,0,0,0,0,0,False
BAJFINANCE,BAJAJ FINANCE LIMITED,Financial Services,0,0,0,0,0,0,0,0,0,0,0,0,0,False
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,Financial Services,2,0,2,0,0,0,0,0,0,0,0,0,0,False
LT,LARSEN & TOUBRO LTD.,Construction,2,0,2,0,0,0,0,0,0,0,0,0,0,False
BAJAJFINSV,BAJAJ FINSERV LTD.,Financial Services,0,0,0,0,0,0,0,0,0,0,0,0,0,False
MAXHEALTH,MAX HEALTHCARE INS LTD,Healthcare,1,0,1,0,0,0,0,0,0,0,0,0,0,False
M&M,MAHINDRA & MAHINDRA LTD,Automobile and Auto Components,0,0,0,0,0,0,0,0,0,0,0,0,0,False
MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,Automobile and Auto Components,0,0,0,0,0,0,0,0,0,0,0,0,0,False
BAJAJ-AUTO,BAJAJ AUTO LIMITED,Automobile and Auto Components,0,0,0,0,0,0,0,0,0,0,0,0,0,False
NESTLEIND,NESTLE INDIA LIMITED,Fast Moving Consumer Goods,0,0,0,0,0,0,0,0,0,0,0,0,0,False
AXISBANK,AXIS BANK LIMITED,Financial Services,0,0,0,0,0,0,0,0,0,0,0,0,0,False
ASIANPAINT,ASIAN PAINTS LIMITED,Consumer Durables,2,0,2,0,0,0,0,0,0,0,0,0,0,False
