symbol,sector,signal_date,entry_date,exit_date,exit_reason,regime_on_entry,entry_price,exit_price,quantity,total_charges,net_pnl,profit_tax_amount,after_tax_net_pnl,return_pct,holding_days,trade_status
NTPC,Power,2026-07-30,2026-07-31,2026-08-03,target_intraday_hit,Neutral,344.1,348.4013,581,462.37,2036.6853,712.8399,1323.8454,0.6614,4,closed
ONGC,Oil Gas & Consumable Fuels,2026-07-30,2026-07-31,2026-08-05,target_gap_open,Neutral,241.58,245,827,463.36,2364.98,827.743,1537.237,0.7685,6,closed
DMART,Consumer Services,2026-07-29,2026-07-30,2026-07-30,target_intraday_hit,Neutral,3849,3897.1125,51,454.56,1999.1775,699.7121,1299.4654,0.6612,1,closed
TATASTEEL,Metals & Mining,2026-07-27,2026-07-28,2026-07-29,target_intraday_hit,Neutral,184.31,186.6139,1085,462.4,2037.3315,713.066,1324.2655,0.6614,2,closed
IRFC,Financial Services,2026-07-24,2026-07-27,2026-07-29,target_intraday_hit,Neutral,88.1,89.2012,2270,462.4,2037.324,713.0634,1324.2606,0.6614,3,closed
VEDL,Metals & Mining,2026-07-24,2026-07-27,2026-08-04,target_intraday_hit,Neutral,267.05,270.3881,748,462.33,2034.5688,712.0991,1322.4697,0.6613,9,closed
VEDL,Metals & Mining,2026-07-23,2026-07-24,2026-07-24,target_intraday_hit,Neutral,262,265.275,763,462.37,2036.455,712.7592,1323.6958,0.6614,1,closed
JINDALSTEL,Metals & Mining,2026-07-21,2026-07-22,2026-07-27,target_intraday_hit,Neutral,1050,1063.125,190,462.27,2031.48,711.018,1320.462,0.6611,6,closed
VEDL,Metals & Mining,2026-07-21,2026-07-22,2026-07-23,target_intraday_hit,Neutral,264.85,268.1606,755,462.39,2037.113,712.9896,1324.1234,0.6614,2,closed
JINDALSTEL,Metals & Mining,2026-07-20,2026-07-21,2026-07-21,target_intraday_hit,Shock,1035,1047.9375,193,462.33,2034.6075,712.1126,1322.4949,0.6613,1,closed
NTPC,Power,2026-07-20,2026-07-21,2026-07-27,target_gap_open,Shock,347.2,353,576,463.42,2877.38,1007.083,1870.297,0.9341,7,closed
VEDL,Metals & Mining,2026-07-20,2026-07-21,2026-07-21,target_intraday_hit,Shock,261.85,265.1231,763,462.34,2035.0353,712.2624,1322.7729,0.6613,1,closed
JINDALSTEL,Metals & Mining,2026-06-11,2026-07-20,2026-07-20,target_intraday_hit,Falling,1025,1037.8125,195,462.36,2036.0775,712.6271,1323.4504,0.6614,1,closed
NTPC,Power,2026-06-11,2026-07-20,2026-07-20,target_intraday_hit,Falling,343,347.2875,583,462.4,2037.2125,713.0244,1324.1881,0.6614,1,closed
ONGC,Oil Gas & Consumable Fuels,2026-06-11,2026-07-20,2026-07-20,target_intraday_hit,Falling,248.43,251.5354,805,462.4,2037.447,713.1064,1324.3406,0.6614,1,closed
TRENT,Consumer Services,2026-06-09,2026-06-10,2026-06-10,target_intraday_hit,Falling,2785.2,2820.015,71,457.89,2013.975,704.8912,1309.0838,0.6612,1,closed
BRITANNIA,Fast Moving Consumer Goods,2026-06-04,2026-06-05,2026-06-10,target_intraday_hit,Neutral,5095,5158.6875,39,460.11,2023.7025,708.2959,1315.4066,0.6612,6,closed
LICI,Financial Services,2026-06-03,2026-06-04,2026-06-10,target_intraday_hit,Volatile,400.5,405.5062,499,462.36,2035.7338,712.5068,1323.227,0.6613,7,closed
VEDL,Metals & Mining,2026-05-14,2026-05-15,2026-05-26,target_intraday_hit,Volatile,338.9,343.1362,590,462.39,2036.968,712.9388,1324.0292,0.6614,12,closed
VEDL,Metals & Mining,2026-05-13,2026-05-14,2026-05-14,target_intraday_hit,Volatile,329,333.1125,607,462.33,2033.9575,711.8851,1322.0724,0.6612,1,closed
VEDL,Metals & Mining,2026-05-06,2026-05-07,2026-05-13,target_intraday_hit,Volatile,319.9,323.8987,625,462.37,2036.8175,712.8861,1323.9314,0.6614,7,closed
