decision_hash,symbol,threshold_id,threshold_pct,threshold_price,touched,first_touch_ts,first_touch_session,exit_triggered
b01697422c4e1b40fcb164258f16e2223d98e2ab6c398727753c6644318e6ede,BPCL,A050,-0.5,447.4515,False,,,False
b01697422c4e1b40fcb164258f16e2223d98e2ab6c398727753c6644318e6ede,BPCL,A100,-1.0,445.203,False,,,False
b01697422c4e1b40fcb164258f16e2223d98e2ab6c398727753c6644318e6ede,BPCL,A200,-2.0,440.706,False,,,False
b01697422c4e1b40fcb164258f16e2223d98e2ab6c398727753c6644318e6ede,BPCL,A500,-5.0,427.215,False,,,False
b01697422c4e1b40fcb164258f16e2223d98e2ab6c398727753c6644318e6ede,BPCL,A1000,-10.0,404.73,False,,,False
a7110cdd5a9d4212bf65a7d0a5c41f00caa364621280ef622e86ad747d9966b1,PFC,A050,-0.5,393.025,True,2024-01-02T09:16:00+05:30,2024-01-02,False
a7110cdd5a9d4212bf65a7d0a5c41f00caa364621280ef622e86ad747d9966b1,PFC,A100,-1.0,391.05,True,2024-01-02T09:18:00+05:30,2024-01-02,False
a7110cdd5a9d4212bf65a7d0a5c41f00caa364621280ef622e86ad747d9966b1,PFC,A200,-2.0,387.1,True,2024-01-02T10:25:00+05:30,2024-01-02,False
a7110cdd5a9d4212bf65a7d0a5c41f00caa364621280ef622e86ad747d9966b1,PFC,A500,-5.0,375.25,False,,,False
a7110cdd5a9d4212bf65a7d0a5c41f00caa364621280ef622e86ad747d9966b1,PFC,A1000,-10.0,355.5,False,,,False
0f802da7505bd550296deb7c1094753d0fc780ce2e03775e8d823889fcb97a4e,WIPRO,A050,-0.5,509.39025000000004,True,2024-01-15T09:17:00+05:30,2024-01-15,False
0f802da7505bd550296deb7c1094753d0fc780ce2e03775e8d823889fcb97a4e,WIPRO,A100,-1.0,506.83050000000003,False,,,False
0f802da7505bd550296deb7c1094753d0fc780ce2e03775e8d823889fcb97a4e,WIPRO,A200,-2.0,501.71100000000007,False,,,False
0f802da7505bd550296deb7c1094753d0fc780ce2e03775e8d823889fcb97a4e,WIPRO,A500,-5.0,486.3525,False,,,False
0f802da7505bd550296deb7c1094753d0fc780ce2e03775e8d823889fcb97a4e,WIPRO,A1000,-10.0,460.75500000000005,False,,,False
118898d2a61e6ed87c85f331a838ddbf4c16b3ecf78681a8afd6c0012323ebc0,COALINDIA,A050,-0.5,384.5675,True,2024-01-20T09:19:00+05:30,2024-01-20,False
118898d2a61e6ed87c85f331a838ddbf4c16b3ecf78681a8afd6c0012323ebc0,COALINDIA,A100,-1.0,382.635,False,,,False
118898d2a61e6ed87c85f331a838ddbf4c16b3ecf78681a8afd6c0012323ebc0,COALINDIA,A200,-2.0,378.77,False,,,False
118898d2a61e6ed87c85f331a838ddbf4c16b3ecf78681a8afd6c0012323ebc0,COALINDIA,A500,-5.0,367.175,False,,,False
118898d2a61e6ed87c85f331a838ddbf4c16b3ecf78681a8afd6c0012323ebc0,COALINDIA,A1000,-10.0,347.85,False,,,False
a4e9dc532062da9e06ec9ef01ec6edc3ff632cd0ee32c403db10bddf620b4160,RELIANCE,A050,-0.5,2672.4705,False,,,False
a4e9dc532062da9e06ec9ef01ec6edc3ff632cd0ee32c403db10bddf620b4160,RELIANCE,A100,-1.0,2659.041,False,,,False
a4e9dc532062da9e06ec9ef01ec6edc3ff632cd0ee32c403db10bddf620b4160,RELIANCE,A200,-2.0,2632.182,False,,,False
a4e9dc532062da9e06ec9ef01ec6edc3ff632cd0ee32c403db10bddf620b4160,RELIANCE,A500,-5.0,2551.605,False,,,False
a4e9dc532062da9e06ec9ef01ec6edc3ff632cd0ee32c403db10bddf620b4160,RELIANCE,A1000,-10.0,2417.31,False,,,False
410a0248815c5f8f01aaa883290f12368d79b83b5657fe4d4ac690fabd60c1d9,NTPC,A050,-0.5,316.211,True,2024-01-29T09:17:00+05:30,2024-01-29,False
410a0248815c5f8f01aaa883290f12368d79b83b5657fe4d4ac690fabd60c1d9,NTPC,A100,-1.0,314.622,False,,,False
410a0248815c5f8f01aaa883290f12368d79b83b5657fe4d4ac690fabd60c1d9,NTPC,A200,-2.0,311.444,False,,,False
410a0248815c5f8f01aaa883290f12368d79b83b5657fe4d4ac690fabd60c1d9,NTPC,A500,-5.0,301.91,False,,,False
410a0248815c5f8f01aaa883290f12368d79b83b5657fe4d4ac690fabd60c1d9,NTPC,A1000,-10.0,286.02,False,,,False
f589dd5cad38f0f3b378d6f04d7a9f27bdb5c2a177c024e17f90b2e7c3c4829d,COALINDIA,A050,-0.5,445.76,False,,,False
f589dd5cad38f0f3b378d6f04d7a9f27bdb5c2a177c024e17f90b2e7c3c4829d,COALINDIA,A100,-1.0,443.52,False,,,False
f589dd5cad38f0f3b378d6f04d7a9f27bdb5c2a177c024e17f90b2e7c3c4829d,COALINDIA,A200,-2.0,439.04,False,,,False
f589dd5cad38f0f3b378d6f04d7a9f27bdb5c2a177c024e17f90b2e7c3c4829d,COALINDIA,A500,-5.0,425.6,False,,,False
f589dd5cad38f0f3b378d6f04d7a9f27bdb5c2a177c024e17f90b2e7c3c4829d,COALINDIA,A1000,-10.0,403.2,False,,,False
6ff2fe5bce7d28d891c593cbd9261c30bb3a15495fd0fac4076abef24f21c3cc,INDIGO,A050,-0.5,3139.623,True,2024-03-01T10:03:00+05:30,2024-03-01,False
6ff2fe5bce7d28d891c593cbd9261c30bb3a15495fd0fac4076abef24f21c3cc,INDIGO,A100,-1.0,3123.846,False,,,False
6ff2fe5bce7d28d891c593cbd9261c30bb3a15495fd0fac4076abef24f21c3cc,INDIGO,A200,-2.0,3092.292,False,,,False
6ff2fe5bce7d28d891c593cbd9261c30bb3a15495fd0fac4076abef24f21c3cc,INDIGO,A500,-5.0,2997.63,False,,,False
6ff2fe5bce7d28d891c593cbd9261c30bb3a15495fd0fac4076abef24f21c3cc,INDIGO,A1000,-10.0,2839.86,False,,,False
b3ecdf55b67d8c8c2e9dbcae22a2a54620322a6704959bc878c5786316013c0a,HAL,A050,-0.5,3149.12525,True,2024-03-15T09:15:00+05:30,2024-03-15,False
b3ecdf55b67d8c8c2e9dbcae22a2a54620322a6704959bc878c5786316013c0a,HAL,A100,-1.0,3133.3005,True,2024-03-15T09:15:00+05:30,2024-03-15,False
b3ecdf55b67d8c8c2e9dbcae22a2a54620322a6704959bc878c5786316013c0a,HAL,A200,-2.0,3101.651,False,,,False
b3ecdf55b67d8c8c2e9dbcae22a2a54620322a6704959bc878c5786316013c0a,HAL,A500,-5.0,3006.7025,False,,,False
b3ecdf55b67d8c8c2e9dbcae22a2a54620322a6704959bc878c5786316013c0a,HAL,A1000,-10.0,2848.455,False,,,False
362c3017ba6f2c166aaf8afa4b3db46d0212f92b3b19c492f4c838b83c30f305,ADANIPOWER,A050,-0.5,614.91,True,2024-05-02T09:15:00+05:30,2024-05-02,False
362c3017ba6f2c166aaf8afa4b3db46d0212f92b3b19c492f4c838b83c30f305,ADANIPOWER,A100,-1.0,611.82,True,2024-05-02T09:15:00+05:30,2024-05-02,False
362c3017ba6f2c166aaf8afa4b3db46d0212f92b3b19c492f4c838b83c30f305,ADANIPOWER,A200,-2.0,605.64,True,2024-05-02T09:15:00+05:30,2024-05-02,False
362c3017ba6f2c166aaf8afa4b3db46d0212f92b3b19c492f4c838b83c30f305,ADANIPOWER,A500,-5.0,587.1,False,,,False
362c3017ba6f2c166aaf8afa4b3db46d0212f92b3b19c492f4c838b83c30f305,ADANIPOWER,A1000,-10.0,556.2,False,,,False
0b43a41acb394843642d6fdf99083b5e55b24737ec03d40d2344accb060b4250,VEDL,A050,-0.5,469.63999999999993,True,2024-06-03T09:15:00+05:30,2024-06-03,False
0b43a41acb394843642d6fdf99083b5e55b24737ec03d40d2344accb060b4250,VEDL,A100,-1.0,467.2799999999999,True,2024-06-03T09:15:00+05:30,2024-06-03,False
0b43a41acb394843642d6fdf99083b5e55b24737ec03d40d2344accb060b4250,VEDL,A200,-2.0,462.55999999999995,True,2024-06-03T09:15:00+05:30,2024-06-03,False
0b43a41acb394843642d6fdf99083b5e55b24737ec03d40d2344accb060b4250,VEDL,A500,-5.0,448.3999999999999,True,2024-06-04T09:15:00+05:30,2024-06-04,False
0b43a41acb394843642d6fdf99083b5e55b24737ec03d40d2344accb060b4250,VEDL,A1000,-10.0,424.79999999999995,True,2024-06-04T09:32:00+05:30,2024-06-04,False
4b091cacb0d438a95be273c473e1349f82ea8cebdc3e7d0e3c0b8ea5f3574006,BEL,A050,-0.5,287.4555,False,,,False
4b091cacb0d438a95be273c473e1349f82ea8cebdc3e7d0e3c0b8ea5f3574006,BEL,A100,-1.0,286.011,False,,,False
4b091cacb0d438a95be273c473e1349f82ea8cebdc3e7d0e3c0b8ea5f3574006,BEL,A200,-2.0,283.122,False,,,False
4b091cacb0d438a95be273c473e1349f82ea8cebdc3e7d0e3c0b8ea5f3574006,BEL,A500,-5.0,274.455,False,,,False
4b091cacb0d438a95be273c473e1349f82ea8cebdc3e7d0e3c0b8ea5f3574006,BEL,A1000,-10.0,260.01,False,,,False
2628e3fa06565a10bb4e6fe6ccc0362a54cb7358039a6f6bd1fd0993a301ff6d,HAL,A050,-0.5,4776.0,True,2024-06-10T09:15:00+05:30,2024-06-10,False
2628e3fa06565a10bb4e6fe6ccc0362a54cb7358039a6f6bd1fd0993a301ff6d,HAL,A100,-1.0,4752.0,True,2024-06-10T09:15:00+05:30,2024-06-10,False
