decision_hash,symbol,target_id,target_pct,target_price,touched,first_touch_ts,first_touch_session
b01697422c4e1b40fcb164258f16e2223d98e2ab6c398727753c6644318e6ede,BPCL,I030,0.3,451.05,True,2023-12-22T09:15:00+05:30,2023-12-22
b01697422c4e1b40fcb164258f16e2223d98e2ab6c398727753c6644318e6ede,BPCL,I050,0.5,451.95,False,,
b01697422c4e1b40fcb164258f16e2223d98e2ab6c398727753c6644318e6ede,BPCL,I070,0.7,452.85,False,,
b01697422c4e1b40fcb164258f16e2223d98e2ab6c398727753c6644318e6ede,BPCL,S100,1.0,454.2,False,,
b01697422c4e1b40fcb164258f16e2223d98e2ab6c398727753c6644318e6ede,BPCL,S200,2.0,458.7,False,,
b01697422c4e1b40fcb164258f16e2223d98e2ab6c398727753c6644318e6ede,BPCL,S500,5.0,472.2,False,,
a7110cdd5a9d4212bf65a7d0a5c41f00caa364621280ef622e86ad747d9966b1,PFC,I030,0.3,396.2,False,,
a7110cdd5a9d4212bf65a7d0a5c41f00caa364621280ef622e86ad747d9966b1,PFC,I050,0.5,397.0,False,,
a7110cdd5a9d4212bf65a7d0a5c41f00caa364621280ef622e86ad747d9966b1,PFC,I070,0.7,397.8,False,,
a7110cdd5a9d4212bf65a7d0a5c41f00caa364621280ef622e86ad747d9966b1,PFC,S100,1.0,398.95,True,2024-01-03T11:42:00+05:30,2024-01-03
a7110cdd5a9d4212bf65a7d0a5c41f00caa364621280ef622e86ad747d9966b1,PFC,S200,2.0,402.9,False,,
a7110cdd5a9d4212bf65a7d0a5c41f00caa364621280ef622e86ad747d9966b1,PFC,S500,5.0,414.75,False,,
0f802da7505bd550296deb7c1094753d0fc780ce2e03775e8d823889fcb97a4e,WIPRO,I030,0.3,513.5,True,2024-01-15T09:30:00+05:30,2024-01-15
0f802da7505bd550296deb7c1094753d0fc780ce2e03775e8d823889fcb97a4e,WIPRO,I050,0.5,514.55,True,2024-01-15T09:30:00+05:30,2024-01-15
0f802da7505bd550296deb7c1094753d0fc780ce2e03775e8d823889fcb97a4e,WIPRO,I070,0.7,515.55,True,2024-01-15T09:30:00+05:30,2024-01-15
0f802da7505bd550296deb7c1094753d0fc780ce2e03775e8d823889fcb97a4e,WIPRO,S100,1.0,517.1,False,,
0f802da7505bd550296deb7c1094753d0fc780ce2e03775e8d823889fcb97a4e,WIPRO,S200,2.0,522.2,False,,
0f802da7505bd550296deb7c1094753d0fc780ce2e03775e8d823889fcb97a4e,WIPRO,S500,5.0,537.55,False,,
118898d2a61e6ed87c85f331a838ddbf4c16b3ecf78681a8afd6c0012323ebc0,COALINDIA,I030,0.3,387.7,True,2024-01-20T09:36:00+05:30,2024-01-20
118898d2a61e6ed87c85f331a838ddbf4c16b3ecf78681a8afd6c0012323ebc0,COALINDIA,I050,0.5,388.45,False,,
118898d2a61e6ed87c85f331a838ddbf4c16b3ecf78681a8afd6c0012323ebc0,COALINDIA,I070,0.7,389.25,False,,
118898d2a61e6ed87c85f331a838ddbf4c16b3ecf78681a8afd6c0012323ebc0,COALINDIA,S100,1.0,390.4,False,,
