policy_id,symbol,signal_date,entry_ts,entry_date,entry_price,quantity,intraday_target_price,swing_target_price,status,exit_ts,exit_date,exit_price,exit_reason,gross_pnl,costs,tax_reserve,after_tax_net_pnl,unrealized_net_liquidation_pnl,mark_price,holding_sessions,mfe_pct,mae_pct,stop_price,stop_exit_enabled,timeout_exit_enabled,capital_released,decision_hash,minute_source_sha256,minute_to_eod_entry_basis_factor,target_price,return_pct
COMMON-TARGET-ONLY-0.3-1.0-V1,BPCL,2023-12-21,2023-12-22 09:15:00+05:30,2023-12-22,449.7,444,451.05,454.2,CLOSED,2023-12-22 09:15:00+05:30,2023-12-22,451.05,TARGET_INTRADAY_0_3,599.4,159.7334,153.8833,285.7833,0.0,451.05,1,0.467,-0.0222,,False,False,True,b01697422c4e1b40fcb164258f16e2223d98e2ab6c398727753c6644318e6ede,714a3b5e11309e1eef544384c945a6cbdd482dc2851250e8ac667fb6425d7203,2.0,451.05,0.1431
COMMON-TARGET-ONLY-0.3-1.0-V1,PFC,2024-01-01,2024-01-02 09:15:00+05:30,2024-01-02,395.0,506,396.2,398.95,CLOSED,2024-01-03 11:42:00+05:30,2024-01-03,398.95,TARGET_SWING_1_0,1998.7,439.714,545.6451,1013.3409,0.0,398.95,2,1.1139,-3.1013,,False,False,True,a7110cdd5a9d4212bf65a7d0a5c41f00caa364621280ef622e86ad747d9966b1,1e2fa157e43066ebe86a29cc5df13b729549a0ba1c1605d6fd7d5beb666f6387,1.0,398.95,0.507
COMMON-TARGET-ONLY-0.3-1.0-V1,WIPRO,2024-01-12,2024-01-15 09:15:00+05:30,2024-01-15,511.95,390,513.5,517.1,CLOSED,2024-01-15 09:30:00+05:30,2024-01-15,513.5,TARGET_INTRADAY_0_3,604.5,159.7284,155.6701,289.1015,0.0,513.5,1,3.3267,-0.9562,,False,False,True,0f802da7505bd550296deb7c1094753d0fc780ce2e03775e8d823889fcb97a4e,12a06b1275a05265e3b21c87e6125edf8aea92e1fd3d84e098ca6cccefcd6fe0,2.03964143,513.5,0.1448
COMMON-TARGET-ONLY-0.3-1.0-V1,COALINDIA,2024-01-19,2024-01-20 09:15:00+05:30,2024-01-20,386.5,517,387.7,390.4,CLOSED,2024-01-20 09:36:00+05:30,2024-01-20,387.7,TARGET_INTRADAY_0_3,620.4,159.8564,161.1903,299.3533,0.0,387.7,1,0.4561,-0.5231,,False,False,True,118898d2a61e6ed87c85f331a838ddbf4c16b3ecf78681a8afd6c0012323ebc0,3eee3f2a2866cd1a94375156425a3fd8f7ecf31e61f9f4683433deae8dd9f230,1.03688799,387.7,0.1498
COMMON-TARGET-ONLY-0.3-1.0-V1,RELIANCE,2024-01-24,2024-01-25 09:15:00+05:30,2024-01-25,2685.9,74,2694.0,2712.8,CLOSED,2024-01-25 09:28:00+05:30,2024-01-25,2694.0,TARGET_INTRADAY_0_3,599.4,159.0053,154.1382,286.2566,0.0,2694.0,1,0.3351,-0.3463,,False,False,True,a4e9dc532062da9e06ec9ef01ec6edc3ff632cd0ee32c403db10bddf620b4160,8d52b93d5ca6868675fb021a56605d151af191863f40a22c3acd22b048e56c23,2.0,2694.0,0.144
COMMON-TARGET-ONLY-0.3-1.0-V1,NTPC,2024-01-25,2024-01-29 09:15:00+05:30,2024-01-29,317.8,629,318.8,321.0,CLOSED,2024-01-29 09:33:00+05:30,2024-01-29,318.8,TARGET_INTRADAY_0_3,629.0,159.917,164.1791,304.904,0.0,318.8,1,0.3147,-0.5192,,False,False,True,410a0248815c5f8f01aaa883290f12368d79b83b5657fe4d4ac690fabd60c1d9,407d5c1244e3bda232f9c38fcf70ad3e5ff8724aac7946fb135a7c446a19fb00,1.0,318.8,0.1525
COMMON-TARGET-ONLY-0.3-1.0-V1,COALINDIA,2024-02-22,2024-02-23 09:15:00+05:30,2024-02-23,448.0,446,449.35,452.5,CLOSED,2024-02-23 09:15:00+05:30,2024-02-23,449.35,TARGET_INTRADAY_0_3,602.1,159.8464,154.7888,287.4648,0.0,449.35,1,0.3587,-0.2314,,False,False,True,f589dd5cad38f0f3b378d6f04d7a9f27bdb5c2a177c024e17f90b2e7c3c4829d,3eee3f2a2866cd1a94375156425a3fd8f7ecf31e61f9f4683433deae8dd9f230,1.03679704,449.35,0.1439
COMMON-TARGET-ONLY-0.3-1.0-V1,INDIGO,2024-02-29,2024-03-01 09:15:00+05:30,2024-03-01,3155.4,63,3164.9,3187.0,CLOSED,2024-03-01 15:00:00+05:30,2024-03-01,3164.9,TARGET_INTRADAY_0_3,598.5,159.0322,153.8137,285.6541,0.0,3164.9,1,0.431,-0.7955,,False,False,True,6ff2fe5bce7d28d891c593cbd9261c30bb3a15495fd0fac4076abef24f21c3cc,0f12bcb1600ef3c7af9bc48c87cfbf9889c8b573d385be1bafe530939ed85b82,1.0,3164.9,0.1437
COMMON-TARGET-ONLY-0.3-1.0-V1,HAL,2024-03-14,2024-03-15 09:15:00+05:30,2024-03-15,3164.95,63,3174.45,3196.6,CLOSED,2024-03-15 09:19:00+05:30,2024-03-15,3174.45,TARGET_INTRADAY_0_3,598.5,159.5135,153.6453,285.3412,0.0,3174.45,1,0.5561,-1.1043,,False,False,True,b3ecdf55b67d8c8c2e9dbcae22a2a54620322a6704959bc878c5786316013c0a,48d83cd09646883a8e38804bf787d367d495245c2b9b41fd9f478a0fb638c866,1.0,3174.45,0.1431
COMMON-TARGET-ONLY-0.3-1.0-V1,ADANIPOWER,2024-04-30,2024-05-02 09:15:00+05:30,2024-05-02,618.0,323,619.9,624.2,CLOSED,2024-05-02 09:18:00+05:30,2024-05-02,619.9,TARGET_INTRADAY_0_3,613.7,159.6912,158.9031,295.1057,0.0,619.9,1,0.7039,-2.1521,,False,False,True,362c3017ba6f2c166aaf8afa4b3db46d0212f92b3b19c492f4c838b83c30f305,0cff105090f32bd1f8fd60758a2931e94226d1f2dc5bd119901d38ead7187490,1.0,619.9,0.1478
