bucket_type,bucket_key,decision_count,trade_count,win_rate_pct,avg_return_pct,median_return_pct,after_tax_net_pnl,open_position_count,open_unrealized_net_liquidation_pnl
STOCK_TREND,DOWNWARD,132,0,,,,0.0,0,0
STOCK_TREND,SIDEWAYS,251,0,,,,0.0,0,0
STOCK_TREND,TRANSITION,192,1,100.0,0.144,0.144,286.2566,0,0
STOCK_TREND,UPWARD,143,0,,,,0.0,0,0
STOCK_ZONE,DOWNWARD_HIGH_VOL,38,0,,,,0.0,0,0
STOCK_ZONE,DOWNWARD_LOW_NORMAL_VOL,94,0,,,,0.0,0,0
STOCK_ZONE,SIDEWAYS_HIGH_VOL,51,0,,,,0.0,0,0
STOCK_ZONE,SIDEWAYS_LOW_NORMAL_VOL,200,0,,,,0.0,0,0
STOCK_ZONE,TRANSITION_HIGH_VOL,51,0,,,,0.0,0,0
STOCK_ZONE,TRANSITION_LOW_NORMAL_VOL,141,1,100.0,0.144,0.144,286.2566,0,0
STOCK_ZONE,UPWARD_HIGH_VOL,51,0,,,,0.0,0,0
STOCK_ZONE,UPWARD_LOW_NORMAL_VOL,92,0,,,,0.0,0,0
NIFTY_TREND,DOWNWARD,39,0,,,,0.0,0,0
NIFTY_TREND,SIDEWAYS,414,1,100.0,0.144,0.144,286.2566,0,0
NIFTY_TREND,TRANSITION,201,0,,,,0.0,0,0
NIFTY_TREND,UPWARD,64,0,,,,0.0,0,0
NIFTY_ZONE,DOWNWARD_HIGH_VOL,16,0,,,,0.0,0,0
NIFTY_ZONE,DOWNWARD_LOW_NORMAL_VOL,23,0,,,,0.0,0,0
NIFTY_ZONE,SIDEWAYS_HIGH_VOL,26,0,,,,0.0,0,0
NIFTY_ZONE,SIDEWAYS_LOW_NORMAL_VOL,388,1,100.0,0.144,0.144,286.2566,0,0
NIFTY_ZONE,TRANSITION_HIGH_VOL,16,0,,,,0.0,0,0
NIFTY_ZONE,TRANSITION_LOW_NORMAL_VOL,185,0,,,,0.0,0,0
NIFTY_ZONE,UPWARD_HIGH_VOL,10,0,,,,0.0,0,0
NIFTY_ZONE,UPWARD_LOW_NORMAL_VOL,54,0,,,,0.0,0,0
BANK_NIFTY_TREND,DOWNWARD,54,1,100.0,0.144,0.144,286.2566,0,0
BANK_NIFTY_TREND,SIDEWAYS,327,0,,,,0.0,0,0
BANK_NIFTY_TREND,TRANSITION,236,0,,,,0.0,0,0
BANK_NIFTY_TREND,UPWARD,101,0,,,,0.0,0,0
BANK_NIFTY_ZONE,DOWNWARD_HIGH_VOL,19,0,,,,0.0,0,0
BANK_NIFTY_ZONE,DOWNWARD_LOW_NORMAL_VOL,35,1,100.0,0.144,0.144,286.2566,0,0
BANK_NIFTY_ZONE,SIDEWAYS_HIGH_VOL,19,0,,,,0.0,0,0
BANK_NIFTY_ZONE,SIDEWAYS_LOW_NORMAL_VOL,308,0,,,,0.0,0,0
BANK_NIFTY_ZONE,TRANSITION_HIGH_VOL,20,0,,,,0.0,0,0
BANK_NIFTY_ZONE,TRANSITION_LOW_NORMAL_VOL,216,0,,,,0.0,0,0
BANK_NIFTY_ZONE,UPWARD_HIGH_VOL,20,0,,,,0.0,0,0
BANK_NIFTY_ZONE,UPWARD_LOW_NORMAL_VOL,81,0,,,,0.0,0,0
VIX_REGIME,HIGH,41,0,,,,0.0,0,0
VIX_REGIME,LOW,514,1,100.0,0.144,0.144,286.2566,0,0
VIX_REGIME,NORMAL,163,0,,,,0.0,0,0
SECTOR,Oil Gas & Consumable Fuels,718,1,100.0,0.144,0.144,286.2566,0,0
DECISION,DO_NOT_CHASE,84,0,,,,0.0,0,0
DECISION,ENTERABLE_TIER_B,1,1,100.0,0.144,0.144,286.2566,0,0
DECISION,NO_OPPORTUNITY,628,0,,,,0.0,0,0
DECISION,REJECT_POOR_RR,4,0,,,,0.0,0,0
DECISION,WAIT,1,0,,,,0.0,0,0
