bucket_type,bucket_key,decision_count,trade_count,win_rate_pct,avg_return_pct,median_return_pct,after_tax_net_pnl
STOCK_TREND,DOWNWARD,13714,0,,,,0.0
STOCK_TREND,INSUFFICIENT_DATA,8,0,,,,0.0
STOCK_TREND,SIDEWAYS,18726,0,,,,0.0
STOCK_TREND,TRANSITION,15986,2,100.0,2.5368,2.5368,10122.5565
STOCK_TREND,UPWARD,20309,21,33.3333,-1.4355,-1.7648,-60304.4407
STOCK_ZONE,DOWNWARD_HIGH_VOL,8567,0,,,,0.0
STOCK_ZONE,DOWNWARD_LOW_NORMAL_VOL,5147,0,,,,0.0
STOCK_ZONE,INSUFFICIENT_DATA,8,0,,,,0.0
STOCK_ZONE,SIDEWAYS_HIGH_VOL,7191,0,,,,0.0
STOCK_ZONE,SIDEWAYS_LOW_NORMAL_VOL,11535,0,,,,0.0
STOCK_ZONE,TRANSITION_HIGH_VOL,6795,1,100.0,3.3749,3.3749,6746.3684
STOCK_ZONE,TRANSITION_LOW_NORMAL_VOL,9191,1,100.0,1.6987,1.6987,3376.1881
STOCK_ZONE,UPWARD_HIGH_VOL,13109,19,36.8421,-1.3583,-1.7648,-51662.1773
STOCK_ZONE,UPWARD_LOW_NORMAL_VOL,7200,2,0.0,-2.169,-2.169,-8642.2634
NIFTY_TREND,DOWNWARD,3804,0,,,,0.0
NIFTY_TREND,SIDEWAYS,39622,11,36.3636,-1.5486,-1.7648,-33980.995
NIFTY_TREND,TRANSITION,19242,5,40.0,-1.1141,-0.5373,-11106.8242
NIFTY_TREND,UPWARD,6075,7,42.8571,-0.3524,-2.9807,-5094.065
NIFTY_ZONE,DOWNWARD_HIGH_VOL,1584,0,,,,0.0
NIFTY_ZONE,DOWNWARD_LOW_NORMAL_VOL,2220,0,,,,0.0
NIFTY_ZONE,SIDEWAYS_HIGH_VOL,2464,2,50.0,-2.6622,-2.6622,-10633.5067
NIFTY_ZONE,SIDEWAYS_LOW_NORMAL_VOL,37158,9,33.3333,-1.3011,-1.7648,-23347.4883
NIFTY_ZONE,TRANSITION_HIGH_VOL,1528,0,,,,0.0
NIFTY_ZONE,TRANSITION_LOW_NORMAL_VOL,17714,5,40.0,-1.1141,-0.5373,-11106.8242
NIFTY_ZONE,UPWARD_HIGH_VOL,950,2,100.0,5.5879,5.5879,22136.0221
NIFTY_ZONE,UPWARD_LOW_NORMAL_VOL,5125,5,20.0,-2.7286,-3.4856,-27230.0871
BANK_NIFTY_TREND,DOWNWARD,5219,2,100.0,2.5368,2.5368,10122.5565
BANK_NIFTY_TREND,SIDEWAYS,31345,6,0.0,-4.304,-3.7671,-51524.1388
BANK_NIFTY_TREND,TRANSITION,22528,7,71.4286,1.8499,2.2053,25688.1755
BANK_NIFTY_TREND,UPWARD,9651,8,25.0,-2.1589,-3.2332,-34468.4774
BANK_NIFTY_ZONE,DOWNWARD_HIGH_VOL,1876,0,,,,0.0
BANK_NIFTY_ZONE,DOWNWARD_LOW_NORMAL_VOL,3343,2,100.0,2.5368,2.5368,10122.5565
BANK_NIFTY_ZONE,SIDEWAYS_HIGH_VOL,1797,1,0.0,-6.9997,-6.9997,-13975.2432
BANK_NIFTY_ZONE,SIDEWAYS_LOW_NORMAL_VOL,29548,5,0.0,-3.7648,-2.6412,-37548.8956
BANK_NIFTY_ZONE,TRANSITION_HIGH_VOL,1917,2,100.0,5.5879,5.5879,22136.0221
BANK_NIFTY_ZONE,TRANSITION_LOW_NORMAL_VOL,20611,5,60.0,0.3547,1.8302,3552.1534
BANK_NIFTY_ZONE,UPWARD_HIGH_VOL,1926,3,33.3333,-1.8571,-3.4856,-11122.8217
BANK_NIFTY_ZONE,UPWARD_LOW_NORMAL_VOL,7725,5,20.0,-2.34,-2.9807,-23345.6557
VIX_REGIME,HIGH,3950,2,50.0,-2.6622,-2.6622,-10633.5067
VIX_REGIME,LOW,49116,13,38.4615,-1.4045,-1.6969,-36424.9096
VIX_REGIME,NORMAL,15677,8,37.5,-0.1862,-1.5893,-3123.4679
SECTOR,Automobile and Auto Components,5444,1,0.0,-1.2406,-1.2406,-2469.726
SECTOR,Capital Goods,4553,3,66.6667,2.0943,4.5481,12379.66
SECTOR,Chemicals,1436,0,,,,0.0
SECTOR,Construction,718,0,,,,0.0
SECTOR,Construction Materials,2872,0,,,,0.0
SECTOR,Consumer Durables,2154,0,,,,0.0
SECTOR,Consumer Services,3174,0,,,,0.0
SECTOR,Fast Moving Consumer Goods,5537,0,,,,0.0
SECTOR,Financial Services,15502,5,20.0,-1.8185,-2.9807,-18156.1391
SECTOR,Healthcare,5744,1,0.0,-4.0706,-4.0706,-8128.2982
SECTOR,Information Technology,3590,1,0.0,-7.8282,-7.8282,-15629.7531
SECTOR,Metals & Mining,5026,3,0.0,-4.1525,-3.7608,-24867.906
SECTOR,OTHER,146,0,,,,0.0
SECTOR,Oil Gas & Consumable Fuels,4308,4,100.0,1.5558,1.7645,12416.6159
SECTOR,Power,4949,3,66.6667,0.5057,2.2053,3044.7177
SECTOR,Realty,1436,1,0.0,-1.7648,-1.7648,-3520.517
SECTOR,Services,1436,1,0.0,-2.6412,-2.6412,-5250.5384
SECTOR,Telecommunication,718,0,,,,0.0
DECISION,DATA_INSUFFICIENT,279,0,,,,0.0
DECISION,DO_NOT_CHASE,6913,0,,,,0.0
DECISION,ENTERABLE_TIER_A,7,7,42.8571,0.2336,-0.5373,3079.1705
DECISION,ENTERABLE_TIER_B,16,16,37.5,-1.6692,-2.203,-53261.0547
DECISION,NO_OPPORTUNITY,60586,0,,,,0.0
DECISION,REJECT_LIQUIDITY,54,0,,,,0.0
DECISION,REJECT_POOR_RR,752,0,,,,0.0
DECISION,REJECT_STOP_INVALID,4,0,,,,0.0
DECISION,SETUP_FORMING,61,0,,,,0.0
DECISION,WAIT,66,0,,,,0.0
DECISION,WAIT_FOR_TRIGGER,1,0,,,,0.0
DECISION,WATCHLIST,4,0,,,,0.0
