symbol,signal_date,entry_date,exit_date,entry_price,exit_price,stop_price,target_price,quantity,exit_reason,gross_pnl,costs,tax_reserve,after_tax_net_pnl,return_pct,holding_sessions,mfe_pct,mae_pct,decision_hash
BPCL,2023-12-21,2023-12-22,2024-01-05,449.7,453.1,432.45,484.2,444,TIMEOUT,1509.6,439.267,374.6166,695.7165,0.3484,10,4.7031,-1.1563,b01697422c4e1b40fcb164258f16e2223d98e2ab6c398727753c6644318e6ede
PFC,2024-01-01,2024-01-02,2024-01-10,395.0,381.0,381.0,423.0,506,STOP,-7084.0,439.714,0.0,-7523.714,-3.7643,7,4.481,-3.5949,a7110cdd5a9d4212bf65a7d0a5c41f00caa364621280ef622e86ad747d9966b1
WIPRO,2024-01-12,2024-01-15,2024-01-29,511.95,473.0,455.0,625.85,390,TIMEOUT,-15190.5,439.2531,0.0,-15629.7531,-7.8282,10,3.3304,-8.7704,0f802da7505bd550296deb7c1094753d0fc780ce2e03775e8d823889fcb97a4e
COALINDIA,2024-01-19,2024-01-20,2024-01-20,386.5,401.3,379.1,401.3,517,TARGET,7651.6,439.6051,2524.1982,4687.7967,2.346,1,3.881,-0.5304,118898d2a61e6ed87c85f331a838ddbf4c16b3ecf78681a8afd6c0012323ebc0
RELIANCE,2024-01-24,2024-01-25,2024-01-29,2685.9,2762.0,2647.85,2762.0,74,TARGET,5631.4,437.2645,1817.9474,3376.1881,1.6987,2,8.1574,-0.5771,a4e9dc532062da9e06ec9ef01ec6edc3ff632cd0ee32c403db10bddf620b4160
NTPC,2024-01-25,2024-01-29,2024-02-05,317.8,335.0,309.2,335.0,629,TARGET,10818.8,439.7716,3632.6599,6746.3684,3.3749,6,7.3159,-1.6362,410a0248815c5f8f01aaa883290f12368d79b83b5657fe4d4ac690fabd60c1d9
COALINDIA,2024-02-22,2024-02-23,2024-03-06,448.0,461.6,427.95,488.1,446,TIMEOUT,6065.6,439.5776,1969.1078,3656.9146,1.8302,10,3.7835,-4.096,f589dd5cad38f0f3b378d6f04d7a9f27bdb5c2a177c024e17f90b2e7c3c4829d
MAXHEALTH,2024-02-27,2024-02-28,2024-02-29,857.0,824.0,824.0,923.0,233,STOP,-7689.0,439.2982,0.0,-8128.2982,-4.0706,2,1.3477,-9.7666,e0d97444799a797ae837a177f0f051319fc0621aa12f2ad351fcb8a77d331033
INDIGO,2024-02-29,2024-03-01,2024-03-06,3155.4,3079.0,3079.0,3308.2,63,STOP,-4813.2,437.3384,0.0,-5250.5384,-2.6412,5,1.8888,-4.1009,6ff2fe5bce7d28d891c593cbd9261c30bb3a15495fd0fac4076abef24f21c3cc
M&M,2024-03-12,2024-03-13,2024-03-13,1896.0,1876.65,1876.65,1934.7,105,STOP,-2031.75,437.976,0.0,-2469.726,-1.2406,1,0.2848,-2.7294,dd72fe61931a68b9a89402f5df8a30faa5cdb1eb400afa865c473a2675fa4e0c
