symbol,signal_date,reason
ACUTAAS,2026-07-27,ENTRY_SESSION_UNAVAILABLE
AUBANK,2026-05-06,ENTRY_SESSION_UNAVAILABLE
BANDHANBNK,2026-05-26,ENTRY_SESSION_UNAVAILABLE
FINCABLES,2026-05-25,ENTRY_SESSION_UNAVAILABLE
INTELLECT,2026-08-03,ENTRY_SESSION_UNAVAILABLE
MUTHOOTFIN,2026-05-06,ENTRY_SESSION_UNAVAILABLE
NETWEB,2026-05-27,ENTRY_SESSION_UNAVAILABLE
OLAELEC,2026-08-05,ENTRY_SESSION_UNAVAILABLE
PFC,2026-05-05,ENTRY_SESSION_UNAVAILABLE
PFC,2026-05-08,ENTRY_SESSION_UNAVAILABLE
SBFC,2026-05-06,ENTRY_SESSION_UNAVAILABLE
SHRIRAMFIN,2026-05-06,ENTRY_SESSION_UNAVAILABLE
SONACOMS,2026-05-05,ENTRY_SESSION_UNAVAILABLE
TATATECH,2026-07-28,ENTRY_SESSION_UNAVAILABLE
VEDL,2026-04-27,ENTRY_SESSION_UNAVAILABLE
